:START_ID,:END_ID,fecha,tipo_transferencia,moneda
1,1177,2025-02-11 10:45:34,externa,USD
2,266,2024-10-19 07:28:03,interna,GTQ
3,577,2025-02-06 14:37:48,externa,GTQ
4,621,2024-11-26 13:08:48,externa,USD
5,481,2024-11-12 06:44:57,interna,GTQ
6,561,2024-05-15 07:45:22,interna,GTQ
7,181,2026-04-10 23:12:08,interna,GTQ
8,482,2025-05-02 18:10:27,externa,EUR
9,232,2024-07-21 00:22:24,interna,GTQ
10,757,2024-10-02 17:54:59,interna,GTQ
11,40,2024-09-13 18:30:03,interna,GTQ
12,1112,2024-06-19 01:14:41,interna,GTQ
13,417,2024-08-16 22:09:34,interna,GTQ
14,1132,2025-12-07 17:07:16,interna,GTQ
15,67,2025-02-13 19:26:06,externa,USD
16,367,2025-12-23 13:38:27,interna,GTQ
17,1079,2026-01-22 19:32:06,externa,EUR
18,327,2026-02-16 15:33:57,interna,GTQ
19,536,2024-12-19 06:56:29,interna,GTQ
20,510,2025-04-23 09:47:50,interna,GTQ
21,1116,2025-02-04 22:54:08,interna,GTQ
22,528,2024-06-11 01:58:30,interna,GTQ
23,554,2025-02-17 09:50:04,interna,GTQ
24,215,2025-04-04 15:36:58,externa,USD
25,839,2025-06-03 20:45:58,externa,EUR
26,1234,2024-07-07 05:30:07,interna,GTQ
27,479,2024-08-05 01:56:46,interna,GTQ
28,860,2025-04-17 11:13:58,interna,GTQ
29,254,2025-10-02 13:44:15,interna,GTQ
30,1397,2026-02-16 13:41:45,interna,GTQ
31,924,2025-09-03 02:23:54,interna,GTQ
32,1022,2026-04-01 20:09:19,interna,GTQ
33,1376,2026-01-18 18:32:30,interna,GTQ
34,882,2024-08-09 20:05:32,interna,GTQ
35,933,2025-07-13 10:55:32,externa,GTQ
36,1377,2024-08-12 00:30:37,interna,GTQ
37,1261,2024-10-10 08:35:50,interna,GTQ
38,1020,2025-04-03 08:56:52,interna,GTQ
39,1203,2025-01-24 01:39:52,interna,GTQ
40,1071,2025-09-15 17:52:57,interna,GTQ
41,624,2025-06-20 03:21:22,interna,GTQ
42,271,2025-02-18 05:19:02,interna,GTQ
43,404,2024-12-04 00:58:19,interna,GTQ
44,1322,2025-09-23 05:25:12,interna,GTQ
45,1204,2026-01-19 22:02:57,interna,GTQ
46,585,2025-01-07 18:24:54,externa,GTQ
