:START_ID,:END_ID,fecha,ip,autenticacion_fuerte
1,309,2025-06-30 15:44:03,45.75.68.104,False
2,72,2026-04-05 03:23:42,51.244.167.143,False
3,987,2026-03-18 10:10:50,196.179.223.96,True
4,447,2025-05-20 05:08:23,125.186.100.172,True
5,676,2025-12-31 17:42:46,191.84.130.73,True
6,577,2026-03-29 08:19:11,173.65.149.162,True
7,397,2024-08-20 15:00:03,12.117.181.208,True
8,76,2024-10-09 07:58:47,88.133.80.206,True
9,564,2025-11-04 13:52:58,28.166.67.84,False
10,14,2025-06-03 07:49:54,116.119.94.223,True
11,260,2024-09-28 05:21:43,200.215.219.224,True
12,553,2026-04-12 06:58:07,102.136.135.233,True
13,517,2025-05-12 20:32:09,51.63.64.39,True
14,109,2024-09-19 09:15:18,118.123.220.111,True
15,295,2025-06-12 05:55:11,106.170.54.91,False
16,454,2024-07-27 21:47:34,196.18.151.140,True
17,139,2026-03-05 13:57:58,186.192.60.63,False
18,338,2025-09-16 06:22:16,209.253.214.102,True
19,205,2026-03-01 03:25:14,75.17.90.152,True
20,62,2024-11-08 03:52:18,145.237.116.225,True
21,257,2025-06-25 11:39:44,124.36.204.14,True
22,212,2025-11-09 09:35:59,120.79.107.191,True
23,1682,2025-08-18 08:23:58,176.161.205.3,True
24,583,2026-01-17 14:28:52,221.75.202.247,True
25,847,2025-06-22 11:34:03,70.30.244.128,True
26,587,2024-05-10 13:55:28,125.246.232.238,True
27,99,2025-06-21 15:59:58,192.196.158.173,True
28,223,2024-06-04 09:37:05,97.215.52.148,True
29,138,2026-01-19 15:37:11,107.157.216.41,False
30,19,2025-07-20 03:35:31,14.240.147.55,True
31,472,2024-06-20 05:30:57,134.149.37.216,True
32,1933,2026-01-26 06:24:43,206.211.109.124,True
33,1596,2024-06-21 01:04:48,3.0.119.29,False
34,889,2024-06-05 06:29:03,197.218.120.87,True
35,214,2026-01-12 03:57:01,64.14.250.120,True
36,469,2026-03-31 05:21:20,1.222.199.135,True
37,1178,2024-07-12 00:10:09,121.115.195.182,True
38,188,2024-05-30 05:36:31,188.113.45.144,True
39,321,2025-08-02 05:54:59,42.76.225.176,False
40,1974,2024-09-07 23:24:57,177.108.167.26,True
41,175,2026-03-29 19:46:02,108.184.15.250,True
