id:ID,saldo,fecha_creacion,estado,promedio_uso,horario_promedio_uso
1,20689.52,2020-03-06,True,2585.94,"[('17:00:00', '21:00:00'), ('10:00:00', '11:00:00')]"
2,26446.53,2026-01-01,True,3101.78,"[('12:00:00', '13:00:00'), ('02:00:00', '10:00:00'), ('13:00:00', '20:00:00')]"
3,30810.7,2018-09-11,False,2480.34,"[('21:00:00', '22:00:00')]"
4,48323.7,2017-08-01,True,4173.61,"[('15:00:00', '16:00:00')]"
5,19282.47,2020-08-15,False,4024.48,"[('07:00:00', '15:00:00')]"
6,48854.99,2018-12-06,True,276.08,"[('11:00:00', '21:00:00')]"
7,30866.83,2021-08-12,True,3309.52,"[('10:00:00', '11:00:00')]"
8,12320.36,2020-02-24,True,2611.69,"[('08:00:00', '16:00:00'), ('20:00:00', '23:00:00'), ('07:00:00', '08:00:00')]"
9,13549.93,2020-05-27,False,1525.17,"[('12:00:00', '21:00:00'), ('04:00:00', '10:00:00')]"
10,46623.43,2021-07-15,True,4947.92,"[('14:00:00', '21:00:00'), ('04:00:00', '10:00:00')]"
11,32596.14,2023-11-28,False,2460.28,"[('18:00:00', '21:00:00'), ('05:00:00', '12:00:00')]"
12,38072.52,2025-07-11,False,2955.81,"[('08:00:00', '17:00:00'), ('17:00:00', '19:00:00')]"
13,1516.29,2024-04-09,True,257.44,"[('03:00:00', '19:00:00')]"
14,1990.82,2023-11-29,False,3795.21,"[('19:00:00', '20:00:00'), ('10:00:00', '12:00:00'), ('01:00:00', '04:00:00')]"
15,6527.77,2019-07-25,True,1559.93,"[('19:00:00', '21:00:00')]"
16,14595.82,2025-08-10,True,895.85,"[('19:00:00', '20:00:00'), ('01:00:00', '15:00:00'), ('21:00:00', '22:00:00')]"
17,9051.95,2020-02-06,True,553.38,"[('19:00:00', '22:00:00'), ('02:00:00', '13:00:00'), ('18:00:00', '19:00:00')]"
18,32627.25,2020-05-31,False,3432.99,"[('00:00:00', '01:00:00')]"
19,2804.59,2024-07-19,False,2065.22,"[('00:00:00', '16:00:00')]"
20,8294.77,2018-04-07,False,4542.56,"[('17:00:00', '21:00:00'), ('16:00:00', '17:00:00'), ('07:00:00', '09:00:00')]"
21,20609.15,2024-04-05,True,626.69,"[('01:00:00', '12:00:00'), ('21:00:00', '23:00:00')]"
22,40038.06,2018-10-24,False,1073.62,"[('05:00:00', '08:00:00'), ('19:00:00', '23:00:00')]"
23,39259.03,2020-11-05,True,2007.4,"[('10:00:00', '17:00:00'), ('20:00:00', '23:00:00'), ('18:00:00', '19:00:00')]"
24,47377.73,2025-04-10,True,3636.72,"[('17:00:00', '20:00:00')]"
25,3225.5,2022-09-23,False,3996.91,"[('06:00:00', '14:00:00'), ('22:00:00', '23:00:00')]"
26,12998.77,2023-03-22,True,2372.02,"[('06:00:00', '11:00:00')]"
27,17337.58,2022-04-30,False,1155.88,"[('16:00:00', '19:00:00')]"
28,12901.48,2016-05-11,False,741.5,"[('01:00:00', '17:00:00'), ('19:00:00', '20:00:00')]"
29,6549.31,2020-01-24,False,3847.42,"[('14:00:00', '23:00:00')]"
30,19266.35,2016-08-23,False,4880.98,"[('22:00:00', '23:00:00'), ('18:00:00', '21:00:00')]"
31,28592.7,2019-05-18,True,3764.59,"[('07:00:00', '22:00:00')]"
32,45929.79,2026-03-16,False,3148.25,"[('13:00:00', '23:00:00'), ('10:00:00', '13:00:00')]"
33,29095.72,2017-08-08,True,2900.86,"[('06:00:00', '12:00:00'), ('14:00:00', '19:00:00')]"
34,41005.24,2017-02-20,False,4024.17,"[('03:00:00', '17:00:00')]"
35,1046.38,2019-09-21,False,985.68,"[('07:00:00', '08:00:00'), ('16:00:00', '21:00:00'), ('11:00:00', '16:00:00')]"
36,39673.88,2021-04-12,False,4051.3,"[('03:00:00', '14:00:00'), ('19:00:00', '20:00:00')]"
37,2492.85,2016-08-25,True,2290.03,"[('21:00:00', '22:00:00'), ('06:00:00', '10:00:00')]"
38,16926.94,2019-01-12,True,2944.25,"[('20:00:00', '21:00:00'), ('16:00:00', '17:00:00'), ('18:00:00', '20:00:00')]"
39,25423.68,2016-11-11,False,3498.64,"[('18:00:00', '23:00:00'), ('09:00:00', '11:00:00')]"
40,46683.25,2021-08-31,True,4170.08,"[('04:00:00', '18:00:00'), ('20:00:00', '23:00:00'), ('18:00:00', '20:00:00')]"
41,24466.32,2023-08-10,True,1101.92,"[('21:00:00', '22:00:00')]"
42,33804.14,2021-07-17,False,1794.39,"[('04:00:00', '08:00:00'), ('03:00:00', '04:00:00'), ('02:00:00', '03:00:00')]"
43,9132.6,2018-10-11,True,3789.27,"[('04:00:00', '16:00:00')]"
44,27174.69,2022-07-27,False,1870.71,"[('21:00:00', '22:00:00'), ('05:00:00', '18:00:00')]"
45,43610.73,2022-01-29,False,1805.88,"[('06:00:00', '20:00:00'), ('20:00:00', '22:00:00'), ('02:00:00', '05:00:00')]"
46,5647.53,2023-05-13,False,2057.47,"[('11:00:00', '13:00:00'), ('15:00:00', '18:00:00'), ('07:00:00', '10:00:00')]"
